/*
 Cornu spiral.
 C(NU) is the x-axis.
 S(NU) is the y-axis.
 DELTA(NU)=0.01
*/
-5.505731E-01 -4.776024E-01
-5.458426E-01 -4.688741E-01
-5.396304E-01 -4.611292E-01
-5.321376E-01 -4.546141E-01
-5.236053E-01 -4.495347E-01
-5.143064E-01 -4.460500E-01
-5.045366E-01 -4.442678E-01
-4.946048E-01 -4.442416E-01
-4.848239E-01 -4.459695E-01
-4.755000E-01 -4.493944E-01
-4.669235E-01 -4.544067E-01
-4.593601E-01 -4.608478E-01
-4.530427E-01 -4.685156E-01
-4.481644E-01 -4.771713E-01
-4.448731E-01 -4.865468E-01
-4.432672E-01 -4.963532E-01
-4.433929E-01 -5.062901E-01
-4.452436E-01 -5.160546E-01
-4.487603E-01 -5.253507E-01
-4.538339E-01 -5.338980E-01
-4.603093E-01 -5.414405E-01
-4.679892E-01 -5.477528E-01
-4.766420E-01 -5.526483E-01
-4.860083E-01 -5.559836E-01
-4.958087E-01 -5.576622E-01
-5.057524E-01 -5.576371E-01
-5.155460E-01 -5.559120E-01
-5.249021E-01 -5.525402E-01
-5.335476E-01 -5.476235E-01
-5.412315E-01 -5.413076E-01
-5.477321E-01 -5.337785E-01
-5.528633E-01 -5.252563E-01
-5.564793E-01 -5.159882E-01
-5.584790E-01 -5.062421E-01
-5.588076E-01 -4.962977E-01
-5.574586E-01 -4.864390E-01
-5.544734E-01 -4.769461E-01
-5.499392E-01 -4.680872E-01
-5.439864E-01 -4.601110E-01
-5.367850E-01 -4.532403E-01
-5.285386E-01 -4.476655E-01
-5.194792E-01 -4.435399E-01
-5.098597E-01 -4.409757E-01
-4.999477E-01 -4.400411E-01
-4.900169E-01 -4.407592E-01
-4.803403E-01 -4.431073E-01
-4.711820E-01 -4.470185E-01
-4.627917E-01 -4.523832E-01
-4.553955E-01 -4.590530E-01
-4.491919E-01 -4.668453E-01
-4.443460E-01 -4.755480E-01
-4.409858E-01 -4.849257E-01
-4.391984E-01 -4.947263E-01
-4.390287E-01 -5.046877E-01
-4.404785E-01 -5.145453E-01
-4.435064E-01 -5.240385E-01
-4.480299E-01 -5.329176E-01
-4.539277E-01 -5.409508E-01
-4.610429E-01 -5.479296E-01
-4.691882E-01 -5.536739E-01
-4.781504E-01 -5.580370E-01
-4.876964E-01 -5.609086E-01
-4.975793E-01 -5.622174E-01
